2006/07/23 08:35
Points
lat        lon
34.828590 35.887652 
34.828590 35.893076 
34.828590 35.890364 
34.828590 35.884940 
34.828590 35.882228 
34.826341 35.893076 
34.824092 35.895788 
34.824092 35.893076 
34.821844 35.895788 
34.819595 35.887652 
34.819595 35.890364 
34.819595 35.884940 
34.817346 35.884940 
34.817346 35.893076 
34.817346 35.890364 
34.815097 35.884940 
34.815097 35.882228 
34.815097 35.893076 
34.812847 35.879516 
34.812847 35.895788 
34.812847 35.893076 
34.812847 35.882228 
34.810598 35.879516 
34.810598 35.895788 
34.808349 35.895788 
34.808349 35.898500 
34.808349 35.901212 
34.808349 35.879516 
34.806100 35.879516 
34.806100 35.903924 
34.806100 35.901212 
34.803852 35.903924 
34.801603 35.903924 
34.799354 35.903924 
34.797105 35.893076 
34.797105 35.890364 
34.794855 35.893076 
34.794855 35.890364 
34.792606 35.890364 
34.792606 35.893076 
34.790357 35.890364 
34.790357 35.893076 
34.788109 35.893076 
34.788109 35.890364 
34.785860 35.893076 
34.783611 35.893076 
34.781362 35.893076 
34.779112 35.895788 
34.779112 35.893076 
34.776863 35.895788 
34.776863 35.898500 
34.774614 35.898500 
34.772365 35.895788 
34.770117 35.895788 
34.770117 35.898500 
34.767868 35.901212 
34.767868 35.898500 
34.765619 35.901212 
34.763370 35.901212 
34.761120 35.901212 
34.758871 35.901212 
34.756622 35.901212 
34.756622 35.898500 
34.754374 35.901212 
34.754374 35.903924 
34.754374 35.906636 
34.754374 35.898500 
34.752125 35.906636 
34.749876 35.909348 
34.747627 35.909348 
34.734133 35.917484 
34.731884 35.917484 
34.731884 35.920196 
34.729635 35.920196 
34.727385 35.920196 
34.725136 35.920196 
34.722887 35.920196 
34.720639 35.920196 
34.718390 35.922908 
34.718390 35.920196 
34.716141 35.922908 
34.713892 35.922908 
34.711642 35.754764 
34.711642 35.922908 
34.709393 35.922908 
34.709393 35.760188 
34.709393 35.762900 
34.709393 35.757476 
34.707144 35.922908 
34.707144 35.762900 
34.707144 35.760188 
34.707144 35.765612 
34.704895 35.922908 
34.704895 35.765612 
34.704895 35.762900 
34.704895 35.760188 
34.702647 35.733068 
34.702647 35.762900 
34.702647 35.765612 
34.702647 35.768324 
34.702647 35.920196 
34.702647 35.735780 
34.702647 35.922908 
34.702647 35.730356 
34.702647 35.727644 
34.702647 35.708660 
34.702647 35.711372 
34.702647 35.714084 
34.702647 35.716796 
34.702647 35.719508 
34.702647 35.722220 
34.702647 35.724932 
34.700398 35.719508 
34.700398 35.768324 
34.700398 35.771036 
34.700398 35.722220 
34.700398 35.705948 
34.700398 35.716796 
34.700398 35.714084 
34.700398 35.711372 
34.700398 35.708660 
34.700398 35.735780 
34.700398 35.920196 
34.700398 35.724932 
34.700398 35.765612 
34.700398 35.762900 
34.700398 35.760188 
34.700398 35.757476 
34.700398 35.754764 
34.700398 35.727644 
34.700398 35.730356 
34.700398 35.733068 
34.700398 35.738492 
34.698149 35.733068 
34.698149 35.743916 
34.698149 35.746628 
34.698149 35.752052 
34.698149 35.754764 
34.698149 35.757476 
34.698149 35.760188 
34.698149 35.762900 
34.698149 35.768324 
34.698149 35.771036 
34.698149 35.773748 
34.698149 35.735780 
34.698149 35.738492 
34.698149 35.749340 
34.698149 35.765612 
34.698149 35.703236 
34.698149 35.705948 
34.698149 35.708660 
34.698149 35.711372 
34.698149 35.714084 
34.698149 35.716796 
34.698149 35.719508 
34.698149 35.722220 
34.698149 35.724932 
34.698149 35.727644 
34.698149 35.730356 
34.695900 35.743916 
34.695900 35.771036 
34.695900 35.773748 
34.695900 35.703236 
34.695900 35.705948 
34.695900 35.708660 
34.695900 35.711372 
34.695900 35.735780 
34.695900 35.738492 
34.695900 35.749340 
34.695900 35.752052 
34.695900 35.754764 
34.695900 35.757476 
34.695900 35.760188 
34.695900 35.762900 
34.695900 35.798156 
34.695900 35.803580 
34.695900 35.760188 
34.695900 35.776460 
34.695900 35.779172 
34.695900 35.781884 
34.695900 35.784596 
34.695900 35.792732 
34.695900 35.762900 
34.695900 35.765612 
34.695900 35.768324 
34.695900 35.771036 
34.695900 35.746628 
34.695900 35.798156 
34.695900 35.795444 
34.695900 35.787308 
34.695900 35.790020 
34.693650 35.792732 
34.693650 35.790020 
34.693650 35.787308 
34.693650 35.705948 
34.693650 35.708660 
34.693650 35.795444 
34.693650 35.798156 
34.693650 35.735780 
34.693650 35.738492 
34.693650 35.743916 
34.693650 35.798156 
34.693650 35.776460 
34.693650 35.779172 
34.693650 35.781884 
34.693650 35.784596 
34.693650 35.787308 
34.693650 35.800868 
34.693650 35.746628 
34.693650 35.749340 
34.693650 35.752052 
34.693650 35.754764 
34.693650 35.757476 
34.693650 35.803580 
34.693650 35.703236 
34.693650 35.757476 
34.693650 35.760188 
34.693650 35.773748 
34.693650 35.771036 
34.693650 35.768324 
34.693650 35.765612 
34.693650 35.762900 
34.691401 35.762900 
34.691401 35.765612 
34.691401 35.730356 
34.691401 35.733068 
34.691401 35.735780 
34.691401 35.768324 
34.691401 35.735780 
34.691401 35.705948 
34.691401 35.771036 
34.691401 35.803580 
34.691401 35.806292 
34.691401 35.790020 
34.691401 35.760188 
34.691401 35.757476 
34.691401 35.754764 
34.691401 35.752052 
34.691401 35.749340 
34.691401 35.746628 
34.691401 35.743916 
34.691401 35.773748 
34.691401 35.727644 
